Altitude (z),Temperature (K),Pressure,Density
2.55e+06,1.19514e+06,1450.4,7.3511e-08
2.551e+06,1.19519e+06,1450.22,7.34988e-08
2.552e+06,1.19524e+06,1450.04,7.34868e-08
2.553e+06,1.19528e+06,1449.86,7.34748e-08
2.554e+06,1.19533e+06,1449.68,7.3463e-08
2.555e+06,1.19538e+06,1449.51,7.34514e-08
2.556e+06,1.19542e+06,1449.33,7.34398e-08
2.557e+06,1.19547e+06,1449.16,7.34283e-08
2.558e+06,1.19551e+06,1448.99,7.3417e-08
2.559e+06,1.19556e+06,1448.83,7.34058e-08
2.56e+06,1.1956e+06,1448.66,7.33947e-08
2.561e+06,1.19564e+06,1448.5,7.33837e-08
2.562e+06,1.19569e+06,1448.33,7.33728e-08
2.563e+06,1.19573e+06,1448.17,7.3362e-08
2.564e+06,1.19577e+06,1448.01,7.33513e-08
2.565e+06,1.19581e+06,1447.86,7.33408e-08
2.566e+06,1.19586e+06,1447.7,7.33303e-08
2.567e+06,1.1959e+06,1447.54,7.332e-08
2.568e+06,1.19594e+06,1447.39,7.33097e-08
2.569e+06,1.19598e+06,1447.24,7.32996e-08
2.57e+06,1.19602e+06,1447.09,7.32895e-08
2.571e+06,1.19606e+06,1446.94,7.32796e-08
2.572e+06,1.1961e+06,1446.79,7.32697e-08
2.573e+06,1.19614e+06,1446.65,7.326e-08
2.574e+06,1.19617e+06,1446.5,7.32503e-08
2.575e+06,1.19621e+06,1446.36,7.32408e-08
2.576e+06,1.19625e+06,1446.22,7.32313e-08
2.577e+06,1.19629e+06,1446.08,7.3222e-08
2.578e+06,1.19632e+06,1445.94,7.32127e-08
2.579e+06,1.19636e+06,1445.81,7.32036e-08
2.58e+06,1.1964e+06,1445.67,7.31945e-08
2.581e+06,1.19643e+06,1445.54,7.31855e-08
2.582e+06,1.19647e+06,1445.4,7.31766e-08
2.583e+06,1.1965e+06,1445.27,7.31678e-08
2.584e+06,1.19654e+06,1445.14,7.31591e-08
2.585e+06,1.19657e+06,1445.01,7.31504e-08
2.586e+06,1.19661e+06,1444.88,7.31419e-08
2.587e+06,1.19664e+06,1444.76,7.31334e-08
2.588e+06,1.19667e+06,1444.63,7.3125e-08
2.589e+06,1.19671e+06,1444.51,7.31168e-08
2.59e+06,1.19674e+06,1444.38,7.31085e-08
2.591e+06,1.19677e+06,1444.26,7.31004e-08
2.592e+06,1.1968e+06,1444.14,7.30924e-08
2.593e+06,1.19683e+06,1444.02,7.30844e-08
2.594e+06,1.19687e+06,1443.91,7.30765e-08
2.595e+06,1.1969e+06,1443.79,7.30687e-08
2.596e+06,1.19693e+06,1443.67,7.3061e-08
2.597e+06,1.19696e+06,1443.56,7.30533e-08
2.598e+06,1.19699e+06,1443.45,7.30458e-08
2.599e+06,1.19702e+06,1443.33,7.30383e-08
2.6e+06,1.19705e+06,1443.22,7.30309e-08
2.601e+06,1.19708e+06,1443.11,7.30235e-08
2.602e+06,1.19711e+06,1443,7.30162e-08
2.603e+06,1.19713e+06,1442.9,7.3009e-08
2.604e+06,1.19716e+06,1442.79,7.30019e-08
2.605e+06,1.19719e+06,1442.68,7.29948e-08
2.606e+06,1.19722e+06,1442.58,7.29879e-08
2.607e+06,1.19725e+06,1442.48,7.29809e-08
2.608e+06,1.19727e+06,1442.37,7.29741e-08
2.609e+06,1.1973e+06,1442.27,7.29673e-08
2.61e+06,1.19733e+06,1442.17,7.29606e-08
2.611e+06,1.19735e+06,1442.07,7.2954e-08
2.612e+06,1.19738e+06,1441.98,7.29474e-08
2.613e+06,1.19741e+06,1441.88,7.29409e-08
2.614e+06,1.19743e+06,1441.78,7.29344e-08
2.615e+06,1.19746e+06,1441.69,7.29281e-08
2.616e+06,1.19748e+06,1441.59,7.29217e-08
2.617e+06,1.19751e+06,1441.5,7.29155e-08
2.618e+06,1.19753e+06,1441.41,7.29093e-08
2.619e+06,1.19756e+06,1441.31,7.29032e-08
2.62e+06,1.19758e+06,1441.22,7.28971e-08
2.621e+06,1.19761e+06,1441.13,7.28911e-08
2.622e+06,1.19763e+06,1441.04,7.28851e-08
2.623e+06,1.19765e+06,1440.96,7.28792e-08
2.624e+06,1.19768e+06,1440.87,7.28734e-08
2.625e+06,1.1977e+06,1440.78,7.28676e-08
2.626e+06,1.19772e+06,1440.7,7.28619e-08
2.627e+06,1.19774e+06,1440.61,7.28563e-08
2.628e+06,1.19777e+06,1440.53,7.28507e-08
2.629e+06,1.19779e+06,1440.45,7.28451e-08
2.63e+06,1.19781e+06,1440.36,7.28396e-08
2.631e+06,1.19783e+06,1440.28,7.28342e-08
2.632e+06,1.19785e+06,1440.2,7.28288e-08
2.633e+06,1.19788e+06,1440.12,7.28235e-08
2.634e+06,1.1979e+06,1440.04,7.28182e-08
2.635e+06,1.19792e+06,1439.96,7.2813e-08
2.636e+06,1.19794e+06,1439.89,7.28079e-08
2.637e+06,1.19796e+06,1439.81,7.28027e-08
2.638e+06,1.19798e+06,1439.74,7.27977e-08
2.639e+06,1.198e+06,1439.66,7.27927e-08
2.64e+06,1.19802e+06,1439.59,7.27877e-08
2.641e+06,1.19804e+06,1439.51,7.27828e-08
2.642e+06,1.19806e+06,1439.44,7.27779e-08
2.643e+06,1.19808e+06,1439.37,7.27731e-08
2.644e+06,1.1981e+06,1439.3,7.27683e-08
2.645e+06,1.19812e+06,1439.23,7.27636e-08
2.646e+06,1.19813e+06,1439.16,7.27589e-08
2.647e+06,1.19815e+06,1439.09,7.27543e-08
2.648e+06,1.19817e+06,1439.02,7.27497e-08
2.649e+06,1.19819e+06,1438.95,7.27452e-08
2.65e+06,1.19821e+06,1438.88,7.27407e-08
2.651e+06,1.19823e+06,1438.82,7.27363e-08
2.652e+06,1.19824e+06,1438.75,7.27319e-08
2.653e+06,1.19826e+06,1438.69,7.27275e-08
2.654e+06,1.19828e+06,1438.62,7.27232e-08
2.655e+06,1.19829e+06,1438.56,7.27189e-08
2.656e+06,1.19831e+06,1438.49,7.27147e-08
2.657e+06,1.19833e+06,1438.43,7.27105e-08
2.658e+06,1.19835e+06,1438.37,7.27064e-08
2.659e+06,1.19836e+06,1438.31,7.27023e-08
2.66e+06,1.19838e+06,1438.25,7.26982e-08
2.661e+06,1.19839e+06,1438.19,7.26942e-08
2.662e+06,1.19841e+06,1438.13,7.26902e-08
2.663e+06,1.19843e+06,1438.07,7.26863e-08
2.664e+06,1.19844e+06,1438.01,7.26824e-08
2.665e+06,1.19846e+06,1437.95,7.26785e-08
2.666e+06,1.19847e+06,1437.89,7.26747e-08
2.667e+06,1.19849e+06,1437.84,7.26709e-08
2.668e+06,1.1985e+06,1437.78,7.26672e-08
2.669e+06,1.19852e+06,1437.73,7.26635e-08
2.67e+06,1.19853e+06,1437.67,7.26598e-08
2.671e+06,1.19855e+06,1437.62,7.26562e-08
2.672e+06,1.19856e+06,1437.56,7.26526e-08
2.673e+06,1.19858e+06,1437.51,7.2649e-08
2.674e+06,1.19859e+06,1437.46,7.26455e-08
2.675e+06,1.1986e+06,1437.4,7.2642e-08
2.676e+06,1.19862e+06,1437.35,7.26385e-08
2.677e+06,1.19863e+06,1437.3,7.26351e-08
2.678e+06,1.19864e+06,1437.25,7.26317e-08
2.679e+06,1.19866e+06,1437.2,7.26284e-08
2.68e+06,1.19867e+06,1437.15,7.2625e-08
2.681e+06,1.19868e+06,1437.1,7.26217e-08
2.682e+06,1.1987e+06,1437.05,7.26185e-08
2.683e+06,1.19871e+06,1437,7.26153e-08
2.684e+06,1.19872e+06,1436.96,7.26121e-08
2.685e+06,1.19874e+06,1436.91,7.26089e-08
2.686e+06,1.19875e+06,1436.86,7.26058e-08
2.687e+06,1.19876e+06,1436.82,7.26027e-08
2.688e+06,1.19877e+06,1436.77,7.25996e-08
2.689e+06,1.19879e+06,1436.72,7.25966e-08
2.69e+06,1.1988e+06,1436.68,7.25936e-08
2.691e+06,1.19881e+06,1436.64,7.25906e-08
2.692e+06,1.19882e+06,1436.59,7.25877e-08
2.693e+06,1.19883e+06,1436.55,7.25847e-08
2.694e+06,1.19885e+06,1436.5,7.25819e-08
2.695e+06,1.19886e+06,1436.46,7.2579e-08
